Run NumNeurons Group meanFR meanCV
4 30834 4E 2.4424 0.4653
4 30834 4I 7.6759 0.7755
4 30834 5E 10.7149 0.8185
4 30834 5I 10.0384 0.7044
4 30834 6E 0.151 0.4889
4 30834 6I 8.9279 0.7112
5 30834 all 5.6842 0.5895
5 30834 2/3E 3.3161 0.4513
5 30834 2/3I 6.6555 0.5697
5 30834 4E 2.46 0.4522
5 30834 4I 7.7685 0.7353
5 30834 5E 10.4237 0.7642
5 30834 5I 9.8848 0.6666
5 30834 6E 0.1681 0.3928
5 30834 6I 8.8159 0.6839
6 30834 all 5.558 0.6143
6 30834 2/3E 3.2055 0.4241
6 30834 2/3I 6.5491 0.5816
6 30834 4E 2.4008 0.4866
6 30834 4I 7.5231 0.7926
6 30834 5E 10.1953 0.8207
6 30834 5I 9.7613 0.708
6 30834 6E 0.1667 0.4037
6 30834 6I 8.6192 0.697
7 30834 all 5.4409 0.5974
7 30834 2/3E 3.1535 0.4425
7 30834 2/3I 6.453 0.5814
7 30834 4E 2.3385 0.4551
7 30834 4I 7.4537 0.7175
7 30834 5E 9.9402 0.7675
7 30834 5I 9.6744 0.669
7 30834 6E 0.1056 0.4686
7 30834 6I 8.5954 0.6779
8 30834 all 5.3427 0.5985
8 30834 2/3E 3.038 0.4078
8 30834 2/3I 6.2883 0.5608
8 30834 4E 2.2285 0.4796
8 30834 4I 7.375 0.7244
8 30834 5E 9.7707 0.7825
8 30834 5I 9.5583 0.6805
8 30834 6E 0.1601 0.4791
8 30834 6I 8.5768 0.6731
9 30834 all 5.478 0.6102
9 30834 2/3E 3.1523 0.4313
9 30834 2/3I 6.4839 0.563
9 30834 4E 2.3655 0.4591
9 30834 4I 7.5463 0.821
9 30834 5E 10.0053 0.7998
9 30834 5I 9.6744 0.6881
9 30834 6E 0.1608 0.4149
9 30834 6I 8.6802 0.7047
0 34704 all 5.6456 0.6167
0 34704 2/3E 3.2709 0.4361
0 34704 2/3I 6.5845 0.5776
0 34704 4E 2.5514 0.4841
0 34704 4I 7.5844 0.7993
0 34704 5E 10.3603 0.7885
0 34704 5I 9.8378 0.6844
0 34704 6E 0.1617 0.4822
0 34704 6I 8.7658 0.6818
1 34704 all 5.3662 0.6005
1 34704 2/3E 3.0922 0.4014
1 34704 2/3I 6.3721 0.5622
1 34704 4E 2.3485 0.4699
1 34704 4I 7.2469 0.7319
1 34704 5E 9.7961 0.7605
1 34704 5I 9.5969 0.6596
1 34704 6E 0.1102 0.561
1 34704 6I 8.473 0.6572
2 34704 all 5.5348 0.6031
2 34704 2/3E 3.2393 0.4436
2 34704 2/3I 6.535 0.5601
2 34704 4E 2.402 0.4649
2 34704 4I 7.4198 0.7516
2 34704 5E 10.115 0.7982
2 34704 5I 9.8118 0.688
2 34704 6E 0.1074 0.437
2 34704 6I 8.6261 0.6813
3 34704 all 5.7078 0.6328
3 34704 2/3E 3.3084 0.4615
3 34704 2/3I 6.5677 0.5785
3 34704 4E 2.6104 0.4762
3 34704 4I 7.7243 0.7876
3 34704 5E 10.4926 0.8294
3 34704 5I 9.9773 0.7102
3 34704 6E 0.1657 0.5212
3 34704 6I 8.7553 0.6978
4 34704 all 5.2833 0.6133
4 34704 2/3E 2.9965 0.4556
4 34704 2/3I 6.2207 0.568
4 34704 4E 2.3089 0.4849
4 34704 4I 7.3086 0.7739
4 34704 5E 9.6413 0.7818
4 34704 5I 9.528 0.6851
4 34704 6E 0.1466 0.462
4 34704 6I 8.4159 0.6949
5 34704 all 5.6304 0.636
5 34704 2/3E 3.2191 0.4517
5 34704 2/3I 6.5556 0.5767
5 34704 4E 2.4232 0.4812
5 34704 4I 7.5802 0.7838
5 34704 5E 10.4026 0.8135
5 34704 5I 9.8467 0.7096
5 34704 6E 0.166 0.5695
5 34704 6I 8.6471 0.7019
6 34704 all 5.3125 0.5984
6 34704 2/3E 3.0029 0.4368
6 34704 2/3I 6.2725 0.5667
6 34704 4E 2.2222 0.4878
6 34704 4I 7.2593 0.7518
6 34704 5E 9.7818 0.7988
6 34704 5I 9.4728 0.665
6 34704 6E 0.1102 0.3922
6 34704 6I 8.4309 0.6882
7 34704 all 5.5199 0.589
7 34704 2/3E 3.1722 0.4409
7 34704 2/3I 6.4817 0.5626
7 34704 4E 2.4537 0.4811
7 34704 4I 7.4938 0.7165
7 34704 5E 10.1241 0.7511
7 34704 5I 9.7453 0.6714
7 34704 6E 0.1361 0.4348
7 34704 6I 8.6156 0.6538
8 34704 all 5.8589 0.6212
8 34704 2/3E 3.5065 0.4417
8 34704 2/3I 6.8333 0.5861
8 34704 4E 2.6372 0.4726
8 34704 4I 7.749 0.7751
8 34704 5E 10.7213 0.7862
8 34704 5I 10.1452 0.685
8 34704 6E 0.1228 0.5133
8 34704 6I 8.9384 0.7099
9 34704 all 5.6436 0.6484
9 34704 2/3E 3.3374 0.4656
9 34704 2/3I 6.5723 0.5862
9 34704 4E 2.4887 0.4798
9 34704 4I 7.5473 0.801
9 34704 5E 10.3116 0.7854
9 34704 5I 9.9213 0.6919
9 34704 6E 0.137 0.6762
9 34704 6I 8.7132 0.7008
0 38556 all 5.4362 0.5861
0 38556 2/3E 3.0827 0.4378
0 38556 2/3I 6.3525 0.5651
0 38556 4E 2.3706 0.4624
0 38556 4I 7.2926 0.729
0 38556 5E 10.0238 0.7647
0 38556 5I 9.6784 0.6645
0 38556 6E 0.1208 0.4005
0 38556 6I 8.481 0.6648
1 38556 all 5.4467 0.6229
1 38556 2/3E 3.1055 0.4464
1 38556 2/3I 6.3601 0.5553
1 38556 4E 2.3731 0.46
1 38556 4I 7.3222 0.7783
1 38556 5E 10.0227 0.7821
1 38556 5I 9.6944 0.6849
1 38556 6E 0.1244 0.5928
1 38556 6I 8.5271 0.6831
2 38556 all 5.4138 0.6536
2 38556 2/3E 3.1007 0.4446
2 38556 2/3I 6.3505 0.5734
2 38556 4E 2.4502 0.4774
2 38556 4I 7.337 0.8216
2 38556 5E 9.8913 0.7965
2 38556 5I 9.7083 0.6991
2 38556 6E 0.1297 0.7336
2 38556 6I 8.5108 0.6828
3 38556 all 5.6443 0.6074
3 38556 2/3E 3.3132 0.4228
3 38556 2/3I 6.5713 0.5832
3 38556 4E 2.4345 0.4557
3 38556 4I 7.4556 0.7432
3 38556 5E 10.4026 0.8045
3 38556 5I 9.8224 0.6854
3 38556 6E 0.1181 0.475
3 38556 6I 8.645 0.6897
4 38556 all 5.6075 0.6186
4 38556 2/3E 3.2716 0.4275
4 38556 2/3I 6.4925 0.569
4 38556 4E 2.4527 0.4868
4 38556 4I 7.4481 0.7427
4 38556 5E 10.297 0.7972
4 38556 5I 9.8947 0.7049
4 38556 6E 0.1367 0.5327
4 38556 6I 8.6612 0.6879
