Run NumNeurons Group meanFR meanCV
1 30834 5E 6.5609 0.5152
1 30834 5I 8.0457 0.4996
1 30834 6E 0.0003 
1 30834 6I 6.3308 0.4702
2 30834 all 4.1319 0.516
2 30834 2/3E 2.0581 0.4952
2 30834 2/3I 5.0656 0.5561
2 30834 4E 3.9086 0.4737
2 30834 4I 5.6528 0.5609
2 30834 5E 7.1826 0.5312
2 30834 5I 8.2286 0.5151
2 30834 6E 0.0021 
2 30834 6I 6.5428 0.48
3 30834 all 3.785 0.5053
3 30834 2/3E 1.6587 0.4997
3 30834 2/3I 4.574 0.5273
3 30834 4E 4.0291 0.481
3 30834 4I 5.4676 0.5016
3 30834 5E 6.5331 0.524
3 30834 5I 8.0238 0.5092
3 30834 6E 0.0017 
3 30834 6I 6.3206 0.4945
4 30834 all 5.1426 0.5932
4 30834 2/3E 2.9051 0.4477
4 30834 2/3I 6.6203 0.8656
4 30834 4E 3.6843 0.4865
4 30834 4I 6.0324 0.6111
4 30834 5E 9.2194 0.6496
4 30834 5I 9.2867 0.5586
4 30834 6E 0.0028 
4 30834 6I 7.0992 0.533
5 30834 all 4.0801 0.505
5 30834 2/3E 1.8214 0.4814
5 30834 2/3I 4.9687 0.5329
5 30834 4E 4.0685 0.4821
5 30834 4I 5.5694 0.5218
5 30834 5E 7.2545 0.5289
5 30834 5I 8.1408 0.5144
5 30834 6E 0.0003 
5 30834 6I 6.4461 0.4735
6 30834 all 3.961 0.5146
6 30834 2/3E 1.7703 0.471
6 30834 2/3I 4.906 0.5983
6 30834 4E 3.9232 0.4862
6 30834 4I 5.4676 0.5482
6 30834 5E 6.9437 0.5191
6 30834 5I 8.1399 0.5124
6 30834 6E 0.0017 
6 30834 6I 6.3902 0.4671
7 30834 all 4.4366 0.5202
7 30834 2/3E 2.1997 0.4685
7 30834 2/3I 5.9193 0.6166
7 30834 4E 3.7715 0.4844
7 30834 4I 5.5926 0.5259
7 30834 5E 7.9027 0.5349
7 30834 5I 8.2643 0.523
7 30834 6E 0.0003 
7 30834 6I 6.6718 0.4878
8 30834 all 3.8528 0.5081
8 30834 2/3E 1.7642 0.473
8 30834 2/3I 4.7851 0.5536
8 30834 4E 3.9709 0.4957
8 30834 4I 5.4769 0.5295
8 30834 5E 6.613 0.5161
8 30834 5I 8.0585 0.5049
8 30834 6E 0.001 
8 30834 6I 6.3732 0.4839
9 30834 all 3.807 0.5019
9 30834 2/3E 1.719 0.4936
9 30834 2/3I 4.5706 0.5159
9 30834 4E 4.0197 0.47
9 30834 4I 5.5231 0.5403
9 30834 5E 6.549 0.5179
9 30834 5I 8.0393 0.5059
9 30834 6E 0.001 
9 30834 6I 6.3308 0.4698
0 34704 all 4.3492 0.5294
0 34704 2/3E 2.3466 0.4638
0 34704 2/3I 5.5677 0.6738
0 34704 4E 3.7907 0.4891
